,Owned with mortgage or loan (include home equity loans),,,,,,,,,,Owned Free And Clear,,,,,,,,,,Rented,,,,,,,,,,Occupied without payment of rent,,,,,,,,,
,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,
Selected Geographies,Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc."
"Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns PUMA; Massachusetts",,25,23,29,29,13,41,9,23,,,17,16,30,53,74,101,13,39,,,0,0,0,0,0,0,0,0,,,0,,0,,,,,,
"Middlesex County (East)--Cambridge City PUMA, Massachusetts",,24,29,39,28,24,50,25,26,,,21,12,21,11,10,25,20,12,,,0,0,0,0,0,0,0,0,,,0,,0,0,,,0,0,
"Middlesex County (East)--Somerville & Everett Cities PUMA, Massachusetts",,28,34,31,51,20,29,30,29,,,28,9,28,21,9,8,5,101,,0,0,0,0,0,0,0,0,0,,,0,,0,,,,,,
"Middlesex County (East)--Malden & Medford Cities PUMA, Massachusetts",85,29,11,36,37,22,57,,50,,,20,11,23,10,12,45,39,13,,,0,0,0,0,0,0,0,0,,,0,0,0,,0,,,,0
"Essex County (Northwest)--Lawrence, Haverhill & Methuen Town Cities PUMA; Massachusetts",,31,37,37,56,39,81,,,,18,17,36,26,20,13,34,10,,,,0,0,0,0,0,0,0,0,,,0,0,,0,,0,0,,
"Essex County (Central)--Amesbury Town City PUMA, Massachusetts",,28,39,29,32,38,31,42,24,,41,17,25,11,66,61,,,,,,0,0,0,0,0,0,0,0,,,0,,,,,,,0,
"Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities PUMA; Massachusetts",31,26,32,50,34,54,21,19,28,,,22,33,8,32,19,20,53,12,,,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,
"Essex County (South)--Lynn City, Swampscott & Nahant Towns PUMA; Massachusetts",,30,35,36,36,,20,49,75,,,19,10,17,34,101,2,,15,,,0,0,0,0,0,0,0,0,,,0,,,,,,0,,
"Peabody City, Danvers, Reading, North Reading & Lynnfield Towns PUMA; Massachusetts",19,27,25,36,33,31,19,61,,,12,18,18,19,1,,22,30,10,,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,
"Billerica, Andover, Tewksbury & Wilmington Towns PUMA; Massachusetts",72,28,24,51,23,17,36,21,12,,11,17,22,101,16,9,,15,19,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,0,
"Middlesex (West Central) & Worcester (East) Counties PUMA, Massachusetts",,25,40,51,49,48,28,25,28,,14,15,13,39,8,2,,6,45,,,0,0,0,0,0,0,0,0,,,0,,,,,,,0,
"Hampden (West & East) & Hampshire (South) Counties--Northampton City PUMA, Massachusetts",23,26,33,52,35,25,21,,20,,14,18,19,27,13,44,,14,13,,,0,0,0,0,0,0,0,0,,0,0,,0,0,,,,,
"Hampden County (Central)--Springfield City PUMA, Massachusetts",10,32,42,39,39,14,,,28,,32,20,43,11,38,43,9,,29,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,
"Hampden County (West of Springfield City)--Westfield & Holyoke Cities PUMA, Massachusetts",22,25,44,40,35,19,,39,57,,30,18,34,14,13,6,,,15,7,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,,,0,
"Hampden County (East of Springfield City)--Chicopee City PUMA, Massachusetts",48,27,24,27,27,56,19,,101,,20,15,19,47,74,46,25,,,,,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,
"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA; Massachusetts",,24,32,15,45,22,,,31,,,18,23,28,13,,,71,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,
"Woburn, Melrose Cities, Saugus, Wakefield & Stoneham Towns PUMA; Massachusetts",,28,23,32,39,41,28,29,46,,,16,17,15,24,36,10,32,,,,0,0,0,0,0,0,0,0,,,0,,,,0,0,,0,
"Boston City--Allston, Brighton & Fenway PUMA; Massachusetts",,32,50,41,15,35,54,24,32,,,27,,34,13,38,17,14,5,,,0,0,0,0,0,0,0,0,,,0,,0,0,,0,,0,
"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA; Massachusetts",17,18,27,29,31,31,23,23,39,,,31,25,9,19,20,36,28,30,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,
"Boston City--Dorchester & South Boston PUMA, Massachusetts",,25,24,47,28,25,37,40,32,,,13,10,18,20,14,21,11,34,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,
"Boston City--Mattapan & Roxbury PUMA, Massachusetts",,34,39,31,44,29,19,,34,,,16,13,21,27,27,,,17,,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,
"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury PUMA; Massachusetts",,28,30,31,30,40,20,35,22,,41,12,25,16,13,17,19,13,18,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,0,
"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA; Massachusetts",,35,51,40,44,19,18,24,24,,,25,23,32,6,,7,21,22,,,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,
