,Owned with mortgage or loan (include home equity loans),,,,,,,,,,Owned Free And Clear,,,,,,,,,,Rented,,,,,,,,,,Occupied without payment of rent,,,,,,,,,
,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,,Units in structure (BLD),,,,,,,,,
Selected Geographies,Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc.",Mobile Home or Trailer,One-family house detached,One-family house attached,2 Apartments,3-4 Apartments,5-9 Apartments,10-19 Apartments,20-49 Apartments,50 or More Apartments,"Boat, RV, van, etc."
"Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns PUMA; Massachusetts",,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,16,39,28,34,59,54,35,27,,,0,,0,,,,,,
"Middlesex County (East)--Cambridge City PUMA, Massachusetts",,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,42,54,26,36,38,37,41,31,,,0,,0,0,,,0,0,
"Middlesex County (East)--Somerville & Everett Cities PUMA, Massachusetts",,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,15,43,44,36,41,32,33,27,48,,,0,,0,,,,,,
"Middlesex County (East)--Malden & Medford Cities PUMA, Massachusetts",0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,,,33,45,47,38,28,22,36,34,,,0,0,0,,0,,,,0
"Essex County (Northwest)--Lawrence, Haverhill & Methuen Town Cities PUMA; Massachusetts",,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,44,55,42,53,48,42,39,38,,,0,0,,0,,0,0,,
"Essex County (Central)--Amesbury Town City PUMA, Massachusetts",,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,42,51,42,32,75,29,45,27,,,0,,,,,,,0,
"Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities PUMA; Massachusetts",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,34,42,52,44,41,42,36,28,,,0,,0,,,0,0,,
"Essex County (South)--Lynn City, Swampscott & Nahant Towns PUMA; Massachusetts",,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,,0,,,42,37,39,41,42,52,44,38,,,0,,,,,,0,,
"Peabody City, Danvers, Reading, North Reading & Lynnfield Towns PUMA; Massachusetts",0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,,64,21,17,36,42,55,65,37,58,,,0,,,,,,,,
"Billerica, Andover, Tewksbury & Wilmington Towns PUMA; Massachusetts",0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,,24,18,22,12,41,55,33,39,,,0,0,,,,,,0,
