,N/A (GQ),,,,Mobile Home or Trailer,,,,One-family house detached,,,,One-family house attached,,,,2 Apartments,,,,3-4 Apartments,,,,5-9 Apartments,,,,10-19 Apartments,,,,20-49 Apartments,,,,50 or More Apartments,,,,"Boat, RV, van, etc.",,,
,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,,Tenure (TEN),,,
Selected Geographies,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent,Owned with mortgage or loan (include home equity loans),Owned Free And Clear,Rented,Occupied without payment of rent
"Middlesex County--Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA; Massachusetts",0,0,0,0,0,0,0,0,16715,11557,2428,217,2169,1036,1642,0,725,495,2945,0,1101,212,3486,0,498,433,2922,82,0,147,2175,0,163,310,1541,0,51,50,2852,0,0,0,0,101
"Middlesex County (South)--Framingham Town, Marlborough City & Natick Town PUMA; Massachusetts",0,0,0,0,0,101,120,0,20685,7642,1353,314,1152,344,1472,0,100,597,2127,0,441,0,3486,0,199,255,2037,75,503,169,4852,150,844,91,3366,357,134,311,4797,151,0,0,0,0
"Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns PUMA; Massachusetts",0,0,0,0,0,0,0,0,13757,5804,1281,298,1706,1048,1272,0,4363,2228,7219,648,511,270,2531,0,404,156,770,0,243,49,1141,0,54,495,2265,0,285,352,3729,0,0,0,0,0
"Middlesex County (East)--Cambridge City PUMA, Massachusetts",0,0,0,0,0,0,0,0,2492,1496,334,84,1354,899,1052,0,1713,662,3304,90,1880,930,5998,75,741,256,5191,0,318,271,1899,0,574,615,4342,105,1163,696,13899,55,0,0,0,0
"Middlesex County (East)--Somerville & Everett Cities PUMA, Massachusetts",0,0,0,0,0,0,297,0,4298,2765,1465,184,1642,151,1243,0,5302,2178,7465,241,3080,454,9624,0,398,131,3605,0,258,153,1277,0,430,61,2161,0,168,85,4140,0,0,0,0,0
"Middlesex County (East)--Malden & Medford Cities PUMA, Massachusetts",0,0,0,0,102,0,0,0,10001,4276,1489,252,1627,175,1716,229,3779,2015,6871,170,1040,574,4024,0,219,31,529,109,313,272,1796,0,0,247,1525,0,885,258,6893,0,0,0,0,429
"Essex County (Northwest)--Lawrence, Haverhill & Methuen Town Cities PUMA; Massachusetts",0,0,0,0,0,183,0,0,18196,7184,1813,521,2555,842,1967,234,2664,1203,6848,0,1341,133,11324,216,1123,52,3225,0,178,79,2504,87,0,541,3581,88,0,0,5559,0,0,0,0,0
"Essex County (Central)--Amesbury Town City PUMA, Massachusetts",0,0,0,0,0,536,0,0,19191,7898,963,187,1823,1744,413,0,410,301,561,0,252,211,930,0,115,179,529,0,184,0,1442,0,381,0,660,0,347,0,836,36,0,0,0,0
"Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities PUMA; Massachusetts",0,0,0,0,52,0,0,0,29173,14459,2466,1144,3521,1329,1195,0,3712,718,4422,65,1657,685,6201,0,1032,550,3929,0,535,383,1649,96,165,268,2612,98,517,579,4144,0,0,0,0,0
"Essex County (South)--Lynn City, Swampscott & Nahant Towns PUMA; Massachusetts",0,0,0,0,0,0,0,0,13918,3895,1134,80,454,319,1079,0,2169,650,2630,0,1397,698,4465,0,0,267,2040,0,422,72,1352,0,934,0,2182,212,133,405,4276,0,0,0,0,0
"Peabody City, Danvers, Reading, North Reading & Lynnfield Towns PUMA; Massachusetts",0,0,0,0,109,205,293,0,20326,11658,1269,293,1894,350,532,0,1574,334,1681,0,293,144,1825,0,202,0,1063,0,338,68,2449,0,971,520,1568,0,0,449,2492,0,0,0,0,0
"Billerica, Andover, Tewksbury & Wilmington Towns PUMA; Massachusetts",0,0,0,0,103,187,0,0,25846,10307,537,360,2503,709,329,62,556,105,208,0,233,300,195,0,66,56,689,0,459,0,766,0,438,603,1490,0,268,170,1524,68,0,0,0,0
"Middlesex (West Central) & Worcester (East) Counties PUMA, Massachusetts",0,0,0,0,0,221,0,0,22605,8225,839,240,1298,819,709,0,60,326,880,0,325,85,1533,0,577,149,1014,0,108,0,2074,0,441,261,1274,0,347,403,927,99,0,0,0,0
